会社名,電話番号,住所,企業URL,業種
テスト株式会社001（第一支店 総務課）,03-7000-3001,東京都千代田区大手町1-1-1,https://example.com/is01-distribute/test3-001,ITサービス
テスト株式会社002（第二支店 営業課）,03-7000-3002,東京都中央区銀座2-2-2,https://example.com/is01-distribute/test3-002,コンサル
テスト株式会社003（第三支店 管理課）,03-7000-3003,東京都港区赤坂3-3-3,https://example.com/is01-distribute/test3-003,卸売業
テスト株式会社004（第四支店 企画課）,03-7000-3004,東京都新宿区四谷4-4-4,https://example.com/is01-distribute/test3-004,物流
テスト株式会社005（第五支店 広報課）,03-7000-3005,東京都渋谷区恵比寿5-5-5,https://example.com/is01-distribute/test3-005,製造業
テスト株式会社006（第一支店 総務課）,045-700-3006,神奈川県横浜市西区高島2-2-2,https://example.com/is01-distribute/test3-006,建設
テスト株式会社007（第二支店 営業課）,048-700-3007,埼玉県さいたま市大宮区錦町1-1-1,https://example.com/is01-distribute/test3-007,小売
テスト株式会社008（第三支店 管理課）,043-700-3008,千葉県千葉市中央区新千葉1-1-1,https://example.com/is01-distribute/test3-008,医療
テスト株式会社009（第四支店 企画課）,022-700-3009,宮城県仙台市青葉区中央1-1-1,https://example.com/is01-distribute/test3-009,不動産
テスト株式会社010（第五支店 広報課）,011-700-3010,北海道札幌市北区北7条西2-1,https://example.com/is01-distribute/test3-010,飲食
テスト株式会社011（第一支店 総務課）,052-700-3011,愛知県名古屋市中村区名駅1-1-1,https://example.com/is01-distribute/test3-011,ITサービス
テスト株式会社012（第二支店 営業課）,06-7000-3012,大阪府大阪市北区大深町1-1,https://example.com/is01-distribute/test3-012,コンサル
テスト株式会社013（第三支店 管理課）,078-700-3013,兵庫県神戸市中央区加納町1-1-1,https://example.com/is01-distribute/test3-013,卸売業
テスト株式会社014（第四支店 企画課）,082-700-3014,広島県広島市南区松原町1-1,https://example.com/is01-distribute/test3-014,物流
テスト株式会社015（第五支店 広報課）,092-700-3015,福岡県福岡市博多区博多駅中央街1-1,https://example.com/is01-distribute/test3-015,製造業
テスト株式会社016（第一支店 総務課）,03-7000-3016,東京都品川区大崎2-2-2,https://example.com/is01-distribute/test3-016,建設
