会社名,電話番号,住所,企業URL,業種
グルメリンクス株式会社（札幌支店 広告課）,011-555-1001,北海道札幌市中央区北1条西2-1,https://example.com/is01-distribute/food-ads-001,飲食
ミナミダイニング合同会社（仙台支店 宣伝課）,022-555-1002,宮城県仙台市青葉区一番町4-6-1,https://example.com/is01-distribute/food-ads-002,飲食
トーキョーキッチン株式会社（新宿支店 マーケ課）,03-5555-1003,東京都新宿区西新宿1-1-1,https://example.com/is01-distribute/food-ads-003,飲食
ベイサイドカフェ株式会社（横浜支店 広告課）,045-555-1004,神奈川県横浜市西区みなとみらい2-2-1,https://example.com/is01-distribute/food-ads-004,飲食
セントラルフーズ株式会社（さいたま支店 宣伝課）,048-555-1005,埼玉県さいたま市大宮区桜木町1-1-1,https://example.com/is01-distribute/food-ads-005,飲食
チバフードサービス株式会社（千葉支店 広報課）,043-555-1006,千葉県千葉市中央区中央港1-1,https://example.com/is01-distribute/food-ads-006,飲食
マリンビュー食堂株式会社（新潟支店 広告課）,025-555-1007,新潟県新潟市中央区万代1-1-1,https://example.com/is01-distribute/food-ads-007,飲食
カナザワ味彩堂合同会社（金沢支店 宣伝課）,076-555-1008,石川県金沢市広坂1-1-1,https://example.com/is01-distribute/food-ads-008,飲食
ナゴヤテーブル株式会社（名古屋支店 マーケ課）,052-555-1009,愛知県名古屋市中区栄3-6-1,https://example.com/is01-distribute/food-ads-009,飲食
ハママツキッチン株式会社（浜松支店 広告課）,053-555-1010,静岡県浜松市中区元城町100-1,https://example.com/is01-distribute/food-ads-010,飲食
キョウト御膳株式会社（京都支店 宣伝課）,075-555-1011,京都府京都市中京区河原町通三条上る,https://example.com/is01-distribute/food-ads-011,飲食
オオサカだし屋株式会社（梅田支店 広告課）,06-5555-1012,大阪府大阪市北区梅田1-1-1,https://example.com/is01-distribute/food-ads-012,飲食
ナンバ食文化株式会社（難波支店 広報課）,06-5555-1013,大阪府大阪市中央区難波5-1-60,https://example.com/is01-distribute/food-ads-013,飲食
コウベグリル株式会社（神戸支店 宣伝課）,078-555-1014,兵庫県神戸市中央区三宮町1-1-1,https://example.com/is01-distribute/food-ads-014,飲食
ヒロシマ味覚株式会社（広島支店 広告課）,082-555-1015,広島県広島市中区本通1-1,https://example.com/is01-distribute/food-ads-015,飲食
オカヤマ食材流通株式会社（岡山支店 広報課）,086-555-1016,岡山県岡山市北区駅元町1-1,https://example.com/is01-distribute/food-ads-016,飲食
タカマツうどん企画株式会社（高松支店 宣伝課）,087-555-1017,香川県高松市サンポート2-1,https://example.com/is01-distribute/food-ads-017,飲食
マツヤマ食堂株式会社（松山支店 広告課）,089-555-1018,愛媛県松山市大手町1-1-1,https://example.com/is01-distribute/food-ads-018,飲食
フクオカ博多めし株式会社（博多支店 広報課）,092-555-1019,福岡県福岡市博多区博多駅前2-1-1,https://example.com/is01-distribute/food-ads-019,飲食
テンジンフードラボ合同会社（天神支店 宣伝課）,092-555-1020,福岡県福岡市中央区天神1-1-1,https://example.com/is01-distribute/food-ads-020,飲食
クマモト味彩堂株式会社（熊本支店 広告課）,096-555-1021,熊本県熊本市中央区手取本町1-1,https://example.com/is01-distribute/food-ads-021,飲食
カゴシマ黒豚食堂株式会社（鹿児島支店 広報課）,099-555-1022,鹿児島県鹿児島市中央町1-1,https://example.com/is01-distribute/food-ads-022,飲食
ナハ島ごはん株式会社（那覇支店 宣伝課）,098-555-1023,沖縄県那覇市おもろまち4-1-1,https://example.com/is01-distribute/food-ads-023,飲食
